code_departement,bord_politique,resultat,annee,taux_chomage,nombre_auteurs_poursuivables,taux_pauvrete,population,revenu_median,logements_sociaux
1,gauche,27.89,2002,4.45,,,535616.0,,
1,droite,37.03,2007,4.925000000000001,,,574377.0,,
1,gauche,33.949999999999996,2012,6.85,10580.0,10.3,612191.0,11764.0,
1,centre,54.99,2022,5.425,9248.0,,671289.0,,47407.0
2,gauche,33.65,2002,9.325,,,536784.0,,
2,gauche,33.260000000000005,2007,10.175,,,537820.0,,
2,gauche,39.43,2012,13.675,11894.0,18.6,540888.0,9690.0,
2,centre,40.09,2022,10.4,9273.0,,525558.0,,40922.0
6,extreme_droite,28.52,2002,8.075,,,1035271.0,,
6,droite,45.42,2007,7.375,,,1082465.0,,
6,droite,38.78,2012,9.3,30691.0,15.2,1082014.0,10133.0,
6,centre,62.55,2017,9.825,28107.0,,1083310.0,,
6,centre,50.13,2022,7.35,25007.0,,1114579.0,,58685.0
13,gauche,28.11,2002,11.15,,,1876310.0,,
13,droite,35.9,2007,10.6,,,1958926.0,,
13,gauche,39.09,2012,11.85,47913.0,18.1,1984784.0,9417.0,
13,centre,58.31,2017,11.275,50155.0,,2024162.0,,
13,centre,52.08,2022,8.75,46607.0,,2069811.0,,162109.0
17,gauche,31.740000000000002,2002,8.425,,,,,
17,gauche,34.49,2007,8.3,,,,,
17,gauche,40.84,2012,9.85,,,,,
17,centre,60.18,2017,9.475,,,,,
17,centre,56.32,2022,6.875,,,,,29722.0
21,gauche,32.92,2002,5.15,,,511197.0,,
21,droite,34.36,2007,5.3,,,519143.0,,
21,gauche,38.919999999999995,2012,7.525,11295.0,10.9,527403.0,11565.0,
21,centre,59.19,2017,7.449999999999999,11168.0,,533819.0,,
21,centre,57.27,2022,6.025,8401.0,,537577.0,,37029.0
29,gauche,36.1,2002,6.475,,,865006.0,,
29,gauche,37.08,2007,6.95,,,885906.0,,
29,gauche,47.300000000000004,2012,9.425,17316.0,10.2,901293.0,11793.0,
29,centre,45.28,2017,8.525,16069.0,,909028.0,,
29,centre,67.5,2022,6.975,13772.0,,927912.0,,48430.0
31,gauche,37.699999999999996,2002,6.425000000000001,,,1102414.0,,
31,gauche,39.580000000000005,2007,7.325,,,1202920.0,,
31,gauche,47.73,2012,8.9,29396.0,12.1,1279349.0,11092.0,
31,centre,43.61,2017,8.25,32098.0,,1362672.0,,
31,centre,64.42,2022,6.475,22428.0,,1456261.0,,94394.0
33,gauche,33.64,2002,7.1,,,1330095.0,,
33,gauche,36.39,2007,7.55,,,1409345.0,,
33,gauche,45.6,2012,10.075,45047.0,12.1,1483712.0,11163.0,
33,extreme_droite,41.89,2017,9.5,32385.0,,1583384.0,,
33,centre,61.37,2022,7.025,27882.0,,1674980.0,,108888.0
34,gauche,30.78,2002,6.2,,,936987.0,,
34,gauche,33.22,2007,6.65,,,1011207.0,,
34,gauche,41.39,2012,9.075,27440.0,19.2,1077627.0,9269.0,
34,centre,41.59,2017,8.875,25362.0,,1144892.0,,
34,centre,52.58,2022,6.75,24685.0,,1217331.0,,67668.0
38,gauche,33.58,2002,8.875,,,1124185.0,,
38,gauche,33.82,2007,8.2,,,1178714.0,,
38,gauche,41.79,2012,9.725,19890.0,11.0,1224993.0,11510.0,
38,centre,43.09,2017,9.2,20975.0,,1258722.0,,
38,centre,59.82,2022,7.35,30544.0,,1291380.0,,91920.0
44,gauche,35.410000000000004,2002,12.125,,,1174492.0,,
44,gauche,36.79,2007,10.975,,,1246798.0,,
44,gauche,45.24,2012,13.475,30426.0,9.7,1313321.0,11956.0,
44,centre,42.98,2017,12.95,28519.0,,1394909.0,,
44,centre,69.48,2022,10.1,23259.0,,1473156.0,,92148.0
54,gauche,34.82,2002,5.325,,,719199.0,,
54,gauche,35.0,2007,5.824999999999999,,,726592.0,,
54,gauche,41.93,2012,7.1,15927.0,14.2,733266.0,10516.0,
54,centre,62.34,2017,6.825,16304.0,,733481.0,,
54,centre,54.41,2022,5.05,14032.0,,732898.0,,53629.0
59,gauche,33.379999999999995,2002,7.525,,,2558213.0,,
59,gauche,35.209999999999994,2007,7.575,,,2564950.0,,
59,gauche,42.39,2012,9.5,73194.0,18.8,2587128.0,9673.0,
59,centre,92.83000000000001,2017,9.2,63775.0,,2604361.0,,
59,centre,52.83,2022,7.125,53435.0,,2616909.0,,275273.0
60,gauche,30.37,2002,6.0,,,,,
60,droite,35.42,2007,6.475,,,,,
60,gauche,37.01,2012,7.9,,,,,
60,centre,96.7,2017,7.4,,,,,
60,centre,47.27,2022,5.55,,,,,67912.0
62,gauche,36.33,2002,5.45,,,,,
62,gauche,37.65,2007,6.425,,,,,
62,gauche,43.120000000000005,2012,9.175,,,,,
62,centre,57.59,2017,9.05,,,,,
62,centre,42.5,2022,7.075,,,,,161622.0
69,gauche,29.05,2002,6.725,,,,,
69,droite,37.01,2007,6.85,,,,,
69,gauche,38.97,2012,8.625,,,,,
69,centre,60.0,2017,8.5,,,,,
69,centre,68.65,2022,6.45,,,,,179353.0
75,gauche,33.370000000000005,2002,4.4,,,2145472.0,,
75,droite,36.17,2007,4.8,,,2193030.0,,
75,gauche,46.86,2012,6.4,105109.0,16.1,2240621.0,9440.0,
75,centre,59.33,2017,6.15,70486.0,,2187526.0,,
75,centre,85.11,2022,4.975,69604.0,,2113705.0,,236748.0
83,extreme_droite,26.7,2002,6.475,,,933602.0,,
83,droite,42.02,2007,7.074999999999999,,,995934.0,,
83,droite,36.46,2012,9.0,26017.0,15.3,1021669.0,10137.0,
83,centre,70.19,2017,8.625,26007.0,,1058740.0,,
83,centre,44.9,2022,6.6,21983.0,,1108364.0,,53552.0
974,centre,63.44,2017,11.975,16609.0,,853659.0,,
