taux_chomage,cmu_nb_allocataires,cmu_taux_couverture,rsa_nb_allocataires,beneficiaires_minimum_vieillesse,taux_de_pauvrete_30_39,taux_de_pauvrete_40_49,taux_de_pauvrete_50_59,taux_de_pauvrete_60_74,taux_de_pauvrete_75_plus,taux_de_pauvrete_ensemble,taux_de_pauvrete_moins_30,taux_occupation_carcerale,auteurs_poursuivables,taux_reussite_brevet,taux_reussite_bac_general,taux_reussite_bac_techno,taux_reussite_bac_pro,taux_reussite_bac_ensemble,taux_reussite_bep,taux_reussite_bts,taux_reussite_cap,part_0_24,part_25_59,part_60_plus,part_75_plus,hommes,femmes,total,nb_logements_sociaux
17.38,18175.3,20.42,26149.38,4092.54,32.7,33.48,34.5,28.28,22.5,27.62,28.5,142.33,20341.97,65.3,56.42,41.94,43.3,45.64,35.94,59.88,38.2,26.3,42.46,26.07,11.97,789269.87,526408.66,1177621.22,21175.36
15.9,23315.19,15.42,29623.55,4032.51,32.9,31.61,36.25,28.85,29.19,29.55,29.43,132.22,25504.71,69.99,69.53,40.0,47.39,64.98,36.81,49.64,44.5,29.99,40.63,33.65,12.67,579844.71,853173.5,1079190.65,26477.84
18.6,19384.04,20.25,34646.77,4440.84,30.27,30.16,36.9,29.13,21.9,31.26,29.52,126.59,24596.03,60.58,55.98,55.29,38.09,53.53,37.25,55.9,34.75,29.73,36.52,25.89,14.21,515791.18,828457.1,1556256.03,22026.35
12.25,27242.14,21.4,30579.33,4645.05,27.56,32.73,29.29,29.15,24.0,30.78,39.87,148.24,15986.06,66.63,67.28,42.71,49.58,48.19,41.48,56.62,49.38,28.74,43.44,34.33,9.85,891660.77,654740.69,1440175.15,39481.26
18.46,27420.64,23.01,29549.3,3470.53,34.95,32.76,37.42,24.22,28.17,30.43,29.07,114.61,24971.22,64.47,58.6,56.29,48.33,49.46,35.76,50.35,42.01,28.43,37.22,34.43,9.13,724219.64,670022.25,1153822.22,20302.04
16.52,18323.66,23.35,23080.8,3211.08,26.07,30.55,29.55,22.83,20.38,32.43,32.83,115.3,15764.83,65.38,54.9,45.54,54.73,59.43,41.91,43.24,47.91,29.45,37.84,34.14,14.52,810834.07,703143.19,1134414.49,32071.44
14.38,24672.52,17.53,24395.98,4227.76,29.15,31.9,28.69,27.0,26.68,31.94,38.69,105.07,18446.06,55.87,69.16,43.51,49.44,51.66,40.63,42.93,32.54,26.32,39.34,33.57,11.49,669000.36,814382.86,1746179.16,21573.99
12.37,16427.72,24.68,22400.15,3487.31,26.55,27.49,33.94,31.4,20.14,32.4,32.61,120.16,16654.92,61.33,57.83,49.28,47.48,56.25,33.87,54.65,34.92,25.73,40.36,32.46,8.28,653354.6,894412.37,1022680.95,27537.04
19.93,21174.95,19.66,24559.0,4653.89,30.07,32.03,27.4,29.34,29.28,25.34,28.29,125.92,18476.86,66.17,64.4,54.76,46.75,64.06,45.54,55.68,39.56,25.67,43.42,32.98,10.0,574134.97,566095.98,1291376.11,35848.96
12.05,16452.98,17.64,30777.6,3931.06,33.07,28.99,35.75,23.64,21.14,28.15,33.03,105.2,29261.66,60.9,53.32,56.94,48.03,54.31,45.33,48.42,41.71,27.44,39.49,28.17,10.03,842404.59,850156.21,1005434.89,25398.16
