taux_chomage,cmu_nb_allocataires,cmu_taux_couverture,rsa_nb_allocataires,beneficiaires_minimum_vieillesse,taux_de_pauvrete_30_39,taux_de_pauvrete_40_49,taux_de_pauvrete_50_59,taux_de_pauvrete_60_74,taux_de_pauvrete_75_plus,taux_de_pauvrete_ensemble,taux_de_pauvrete_moins_30,taux_occupation_carcerale,auteurs_poursuivables,taux_reussite_brevet,taux_reussite_bac_general,taux_reussite_bac_techno,taux_reussite_bac_pro,taux_reussite_bac_ensemble,taux_reussite_bep,taux_reussite_bts,taux_reussite_cap,part_0_24,part_25_59,part_60_plus,part_75_plus,hommes,femmes,total,nb_logements_sociaux
38.71,60.07,15.98,39.98,82.68,7.83,77.67,91.62,38.1,35.7,62.78,64.19,89.64,60.35,85.1,9.65,54.43,49.25,39.94,15.63,14.28,76.24,12.64,15.58,61.65,67.83,58.47,90.86,68.37,46.32
90.56,17.55,49.57,29.42,61.1,62.28,85.65,27.66,61.91,15.21,12.57,56.15,90.85,94.1,35.42,52.82,69.31,47.61,62.9,67.71,86.23,76.07,93.8,63.43,67.62,53.25,39.28,59.56,24.17,93.2
70.88,31.29,8.09,79.59,34.78,33.29,33.62,49.75,62.02,88.22,19.55,13.43,87.34,17.61,38.8,53.66,64.42,20.59,46.24,61.6,50.47,13.21,38.68,72.14,45.91,32.86,92.29,25.58,17.27,49.34
58.88,37.97,86.84,37.11,10.72,50.77,14.9,32.08,53.22,83.96,85.87,38.09,38.31,51.65,13.46,62.37,30.19,44.05,54.11,83.97,79.38,49.5,38.36,57.5,61.48,78.24,80.79,65.45,6.31,34.59
19.04,46.05,28.29,30.28,32.99,86.68,25.51,30.64,13.13,28.21,59.58,28.87,6.39,83.96,57.05,70.35,90.94,40.87,89.73,71.16,33.8,10.18,78.15,91.6,57.59,66.63,80.45,60.63,36.55,62.01
19.04,75.67,64.63,53.84,34.27,27.44,43.44,8.32,80.18,64.4,5.83,26.96,88.55,71.67,8.23,92.83,71.41,60.43,39.75,77.31,85.6,54.46,90.25,38.74,86.1,19.64,47.18,37.23,58.09,26.61
10.23,22.97,33.05,17.68,70.66,41.93,78.62,59.86,33.87,78.55,14.13,92.57,43.54,67.73,46.9,51.47,54.89,62.16,91.51,30.38,40.03,44.74,93.74,30.71,9.09,86.98,42.33,15.22,40.3,11.83
82.96,51.28,51.81,77.2,62.38,73.0,82.47,50.24,21.79,54.97,64.72,40.38,92.0,68.22,53.84,34.07,60.05,9.08,86.48,20.97,5.98,84.89,72.8,83.17,30.29,79.03,29.61,65.44,44.37,16.6
59.1,58.32,54.2,11.71,84.85,25.59,5.63,9.63,8.67,52.67,5.46,85.28,91.73,37.35,30.79,76.57,42.76,38.72,22.62,72.56,86.48,36.58,38.86,25.12,90.54,90.48,10.07,51.83,86.37,16.52
68.73,9.18,21.64,93.82,47.5,11.93,50.97,30.08,58.18,26.77,19.47,61.8,81.77,31.42,58.17,29.37,27.3,61.33,11.24,77.62,13.22,15.54,12.52,91.69,85.12,70.31,82.83,74.51,36.34,18.67
6.85,59.68,92.26,74.5,15.76,31.08,42.57,86.74,65.98,13.38,54.39,76.53,31.5,77.84,7.75,44.51,37.04,50.28,14.07,94.15,33.74,17.87,74.94,6.09,46.01,60.21,78.16,51.81,51.26,17.49
92.29,20.35,74.76,22.88,69.19,19.51,24.99,26.56,6.49,85.75,67.27,50.24,39.66,77.91,8.36,12.06,73.21,82.08,6.64,42.14,90.51,73.54,55.26,92.29,60.81,42.64,94.97,81.7,75.53,62.68
79.92,10.85,89.55,5.5,73.47,88.67,15.79,18.04,51.09,86.04,63.68,56.92,81.6,83.04,79.03,7.28,6.3,64.28,13.5,38.48,90.55,60.64,43.18,8.88,29.96,88.95,94.7,54.67,40.69,21.37
24.11,90.4,85.53,78.39,55.51,77.73,35.39,49.05,25.38,61.98,25.18,49.33,33.52,87.19,37.42,91.64,15.45,19.66,66.47,74.88,56.61,14.1,86.57,85.2,21.93,82.95,54.99,55.48,60.99,36.11
21.36,91.91,58.81,68.62,74.39,62.01,89.86,93.71,63.07,35.51,69.1,22.57,20.25,51.02,16.44,80.24,9.14,11.35,11.41,35.67,61.87,12.57,15.01,52.49,46.73,9.07,74.21,83.9,82.61,85.71
21.51,77.76,87.97,70.61,49.44,83.43,34.09,26.78,20.69,36.43,26.35,70.02,55.11,50.14,52.0,67.64,8.67,62.82,33.71,88.77,45.36,68.09,49.34,94.37,36.8,7.37,90.03,41.31,90.46,47.66
32.38,32.42,12.96,74.41,52.05,77.33,51.69,65.49,67.18,70.34,34.29,30.27,89.25,76.85,74.3,41.81,81.99,7.39,81.04,82.26,31.39,11.55,6.02,11.64,57.53,38.88,81.47,17.06,18.24,65.08
52.23,13.79,22.64,11.66,43.48,21.79,68.27,73.55,39.81,85.74,72.18,7.19,67.64,63.5,24.42,20.6,68.33,57.72,7.09,43.61,34.58,78.97,47.18,54.85,12.0,77.95,27.26,7.59,88.39,20.51
43.88,66.58,9.07,37.26,7.29,85.33,37.73,26.39,89.31,84.84,63.47,63.09,56.31,68.18,61.06,19.08,47.68,89.62,78.3,72.58,65.53,68.56,10.07,92.24,92.7,93.85,45.55,72.96,49.29,22.31
31.21,44.61,34.28,15.43,14.71,53.54,92.46,70.54,17.38,75.19,81.43,20.94,13.75,76.62,12.68,27.52,13.81,56.79,30.37,72.91,72.71,12.32,15.69,52.08,93.76,18.54,16.62,60.83,28.24,8.68
