taux_chomage,cmu_nb_allocataires,cmu_taux_couverture,rsa_nb_allocataires,beneficiaires_minimum_vieillesse,taux_de_pauvrete_30_39,taux_de_pauvrete_40_49,taux_de_pauvrete_50_59,taux_de_pauvrete_60_74,taux_de_pauvrete_75_plus,taux_de_pauvrete_ensemble,taux_de_pauvrete_moins_30,taux_occupation_carcerale,auteurs_poursuivables,taux_reussite_brevet,taux_reussite_bac_general,taux_reussite_bac_techno,taux_reussite_bac_pro,taux_reussite_bac_ensemble,taux_reussite_bep,taux_reussite_bts,taux_reussite_cap,part_0_24,part_25_59,part_60_plus,part_75_plus,hommes,femmes,total,nb_logements_sociaux
9.76,11166.19,14.67,16712.58,2630.64,18.93,21.48,21.03,15.74,15.77,17.36,16.63,84.97,10649.38,81.88,87.89,70.84,70.45,76.95,68.24,78.65,63.94,27.86,43.39,26.98,9.14,647192.12,607755.32,1461631.7,20546.76
8.93,9230.42,17.86,14615.19,3423.52,21.24,18.17,20.27,17.23,17.22,17.38,21.78,92.88,10758.2,76.92,84.55,71.43,70.4,76.17,65.11,69.93,61.96,26.15,42.93,28.47,9.41,771144.61,666078.66,1378024.71,23661.85
9.26,8345.64,16.38,13158.52,3179.71,17.19,17.74,16.45,19.16,18.76,19.44,17.04,96.5,8742.92,83.96,84.7,78.59,69.26,73.86,61.03,74.03,67.91,26.75,42.21,25.6,9.13,640630.59,662110.65,1662187.58,15283.36
7.42,10047.33,13.87,14061.11,2722.32,20.4,17.51,17.04,14.0,14.72,15.43,21.66,96.06,9970.65,75.41,82.85,79.52,74.85,84.55,62.52,76.25,69.56,25.23,43.72,25.4,9.33,832995.47,820514.26,1508777.2,20869.98
7.26,8467.59,17.37,18859.57,2017.88,16.5,21.45,22.79,15.48,15.72,19.5,19.22,90.4,13688.8,81.58,85.72,72.53,66.92,73.92,66.65,74.97,71.5,27.41,41.01,29.43,7.91,656957.78,731099.49,1521585.82,26280.55
9.36,13258.1,16.7,17471.79,2089.58,17.02,15.19,19.3,16.85,14.39,15.44,21.52,82.65,9050.25,84.22,85.2,72.37,68.03,80.9,61.05,78.45,67.91,25.61,43.36,28.43,7.79,681003.67,747138.79,1684098.36,24423.96
7.98,8446.4,13.57,19989.06,3238.58,16.91,16.64,21.13,18.86,16.37,19.27,19.9,82.54,9221.37,77.16,81.06,70.25,67.53,83.29,65.77,72.55,70.75,27.1,41.08,26.16,8.22,664411.56,657273.44,1306612.25,19014.41
8.62,11023.36,13.86,14555.65,2606.96,16.74,15.56,17.47,17.13,14.47,17.29,21.88,99.14,11641.8,79.17,83.69,70.69,67.41,75.74,68.17,74.03,61.11,25.67,41.25,25.71,9.58,715112.66,612003.44,1516011.31,19275.52
7.72,10549.21,12.78,15627.27,2079.73,15.1,18.96,20.5,19.96,15.05,18.0,16.12,83.02,14566.22,76.43,84.04,71.36,67.14,72.76,65.53,68.63,64.13,29.82,44.96,28.45,8.13,847450.53,690997.56,1423487.78,21283.59
8.64,9063.8,14.53,18940.98,2389.46,19.26,17.06,22.38,18.24,14.37,17.05,18.92,87.65,12675.0,82.76,87.76,72.39,66.59,73.6,67.14,69.24,66.15,28.23,42.7,25.8,7.63,706395.12,680658.96,1433612.11,20255.21
8.2,11826.97,17.64,17108.18,2421.73,21.03,20.04,16.24,13.21,15.44,16.79,19.13,93.98,11222.87,83.96,82.33,74.64,73.81,75.6,69.66,71.66,63.74,25.72,43.64,29.83,8.32,732287.71,751944.07,1399158.27,20608.09
