année,taux_chomage
2024-Q4,6.3
2024-Q3,6.4
2024-Q2,6.3
2024-Q1,6.4
2023-Q4,6.4
2023-Q3,6.3
2023-Q2,6.3
2023-Q1,6.1
2022-Q4,6.3
2022-Q3,6.5
2022-Q2,6.6
2022-Q1,6.4
2021-Q4,6.5
2021-Q3,7.0
2021-Q2,7.0
2021-Q1,7.3
2020-Q4,7.3
2020-Q3,8.3
2020-Q2,7.1
2020-Q1,7.4
2019-Q4,7.6
2019-Q3,7.5
2019-Q2,7.7
2019-Q1,7.8
2018-Q4,7.9
2018-Q3,8.1
2018-Q2,8.2
2018-Q1,8.3
2017-Q4,8.1
2017-Q3,8.6
2017-Q2,8.6
2017-Q1,8.7
2016-Q4,9.1
2016-Q3,9.1
2016-Q2,9.3
2016-Q1,9.5
2015-Q4,9.5
2015-Q3,9.5
2015-Q2,9.7
2015-Q1,9.6
2014-Q4,9.6
2014-Q3,9.3
2014-Q2,9.2
2014-Q1,9.2
2013-Q4,9.1
2013-Q3,9.3
2013-Q2,9.4
2013-Q1,9.2
2012-Q4,9.1
2012-Q3,8.7
2012-Q2,8.5
2012-Q1,8.2
2011-Q4,8.2
2011-Q3,7.9
2011-Q2,7.8
2011-Q1,7.8
2010-Q4,7.9
2010-Q3,8.1
2010-Q2,8.1
2010-Q1,8.2
2009-Q4,8.5
2009-Q3,8.2
2009-Q2,8.4
2009-Q1,7.7
2008-Q4,6.9
2008-Q3,6.3
2008-Q2,6.2
2008-Q1,5.9
2007-Q4,6.3
2007-Q3,6.8
2007-Q2,7.0
2007-Q1,7.3
2006-Q4,7.4
2006-Q3,7.7
2006-Q2,7.7
2006-Q1,7.9
2005-Q4,7.8
2005-Q3,7.6
2005-Q2,7.5
2005-Q1,7.3
2004-Q4,7.5
2004-Q3,7.5
2004-Q2,7.4
2004-Q1,7.6
2003-Q4,7.6
2003-Q3,7.0
2003-Q2,7.4
2003-Q1,7.2
2002-Q4,6.8
2002-Q3,6.7
2002-Q2,6.7
2002-Q1,6.7
2001-Q4,6.8
2001-Q3,6.7
2001-Q2,6.5
2001-Q1,6.5
2000-Q4,6.6
2000-Q3,6.9
2000-Q2,7.1
2000-Q1,7.3
1999-Q4,7.6
1999-Q3,8.1
1999-Q2,8.5
1999-Q1,8.6
1998-Q4,8.6
1998-Q3,8.5
1998-Q2,8.6
1998-Q1,8.8
1997-Q4,9.0
1997-Q3,9.2
1997-Q2,9.2
1997-Q1,9.3
1996-Q4,9.3
1996-Q3,9.2
1996-Q2,9.3
1996-Q1,9.1
1995-Q4,8.9
1995-Q3,8.9
1995-Q2,9.2
1995-Q1,9.4
1994-Q4,9.7
1994-Q3,9.9
1994-Q2,10.0
1994-Q1,9.9
1993-Q4,9.8
1993-Q3,9.5
1993-Q2,9.2
1993-Q1,8.9
1992-Q4,8.7
1992-Q3,8.6
1992-Q2,8.6
1992-Q1,8.4
1991-Q4,8.1
1991-Q3,7.8
1991-Q2,7.5
1991-Q1,7.4
1990-Q4,7.5
1990-Q3,7.8
1990-Q2,7.9
1990-Q1,8.1
1989-Q4,8.5
1989-Q3,8.7
1989-Q2,8.9
1989-Q1,9.1
1988-Q4,9.3
1988-Q3,9.6
1988-Q2,9.7
1988-Q1,9.9
1987-Q4,9.9
1987-Q3,10.0
1987-Q2,10.1
1987-Q1,10.1
1986-Q4,10.1
1986-Q3,10.1
1986-Q2,10.0
1986-Q1,9.8
1985-Q4,9.8
1985-Q3,9.6
1985-Q2,9.6
1985-Q1,9.7
1984-Q4,9.6
1984-Q3,9.3
1984-Q2,9.0
1984-Q1,8.6
1983-Q4,8.0
1983-Q3,7.7
1983-Q2,7.5
1983-Q1,7.4
1982-Q4,7.5
1982-Q3,7.5
1982-Q2,7.3
1982-Q1,7.1
