__id,Résultats par cantons - Tour 2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Code du département","Libellé du département","Code du canton","Libellé du canton",Inscrits,Abstentions,"% Abs/Ins",Votants,"% Vot/Ins",Blancs,"% Blancs/Ins","% Blancs/Vot",Nuls,"% Nuls/Ins","% Nuls/Vot",Exprimés,"% Exp/Ins","% Exp/Vot",N°Panneau,Sexe,Nom,Prénom,Voix,"% Voix/Ins","% Voix/Exp",N°Panneau,Sexe,Nom,Prénom,Voix,"% Voix/Ins","% Voix/Exp"
4,1.0,Ain,1.0,Ambérieu-en-Bugey,19924.0,4681.0,23.49,15243.0,76.51,1481.0,7.43,9.72,422.0,2.12,2.77,13340.0,66.95,87.52,1.0,M,MACRON,Emmanuel,7459.0,37.44,55.91,2.0,F,"LE PEN",Marine,5881.0,29.52,44.09
5,1.0,Ain,2.0,Attignat,17624.0,3296.0,18.7,14328.0,81.3,1390.0,7.89,9.7,360.0,2.04,2.51,12578.0,71.37,87.79,1.0,M,MACRON,Emmanuel,7186.0,40.77,57.13,2.0,F,"LE PEN",Marine,5392.0,30.59,42.87
6,1.0,Ain,3.0,Bellegarde-sur-Valserine,12668.0,3331.0,26.29,9337.0,73.71,903.0,7.13,9.67,281.0,2.22,3.01,8153.0,64.36,87.32,1.0,M,MACRON,Emmanuel,5100.0,40.26,62.55,2.0,F,"LE PEN",Marine,3053.0,24.1,37.45
7,1.0,Ain,4.0,Belley,17648.0,3771.0,21.37,13877.0,78.63,1307.0,7.41,9.42,438.0,2.48,3.16,12132.0,68.74,87.43,1.0,M,MACRON,Emmanuel,7199.0,40.79,59.34,2.0,F,"LE PEN",Marine,4933.0,27.95,40.66
8,1.0,Ain,5.0,Bourg-en-Bresse-1,20410.0,5709.0,27.97,14701.0,72.03,1247.0,6.11,8.48,396.0,1.94,2.69,13058.0,63.98,88.82,1.0,M,MACRON,Emmanuel,9088.0,44.53,69.6,2.0,F,"LE PEN",Marine,3970.0,19.45,30.4
9,1.0,Ain,6.0,Bourg-en-Bresse-2,17757.0,4323.0,24.35,13434.0,75.65,1239.0,6.98,9.22,350.0,1.97,2.61,11845.0,66.71,88.17,1.0,M,MACRON,Emmanuel,8436.0,47.51,71.22,2.0,F,"LE PEN",Marine,3409.0,19.2,28.78
10,1.0,Ain,7.0,Ceyzériat,18698.0,3592.0,19.21,15106.0,80.79,1263.0,6.75,8.36,526.0,2.81,3.48,13317.0,71.22,88.16,1.0,M,MACRON,Emmanuel,7623.0,40.77,57.24,2.0,F,"LE PEN",Marine,5694.0,30.45,42.76
11,1.0,Ain,8.0,Châtillon-sur-Chalaronne,21307.0,4576.0,21.48,16731.0,78.52,1507.0,7.07,9.01,442.0,2.07,2.64,14782.0,69.38,88.35,1.0,M,MACRON,Emmanuel,7951.0,37.32,53.79,2.0,F,"LE PEN",Marine,6831.0,32.06,46.21
