__id,Code du département,Libellé du département,Etat saisie,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp
1,1,,,,109568,25,328682,75,19802,2052-04-30,2023-06-02,5875,"1,34","1,79",303005,2069-08-30,1992-08-30,M,MACRON,Emmanuel,166635,2038-08-30,2054-08-30
2,2,,,,97965,26,275656,73.78,14465,1987-03-30,2023-05-25,5694,"1,52","2,07",255497,2068-08-30,1992-08-30,M,MACRON,Emmanuel,102428,2023-08-27,2040-08-30
3,3,,,,62311,24,187643,75.07,13866,2055-05-30,2039-07-30,6370,"2,55","3,39",167407,2066-08-30,1989-08-30,M,MACRON,Emmanuel,87645,2035-08-30,2052-08-30
4,4,,,,31907,24,96170,75.09,7773,2023-06-07,2023-08-08,2599,"2,03","2,70",85798,2066-08-30,1989-08-30,M,MACRON,Emmanuel,41659,2032-08-30,2048-08-30
5,5,,,,27296,24,86244,75.96,7377,2050-06-30,2055-08-30,2208,"1,94","2,56",76659,2067-08-30,1988-08-30,M,MACRON,Emmanuel,42213,2037-08-30,2055-08-30
6,6,,,,217148,27,561555,72.11,30567,1993-03-30,2044-05-30,8370,"1,07","1,49",522618,2067-08-30,1993-08-30,M,MACRON,Emmanuel,261989,2033-08-30,2050-08-30
7,7,,,,62124,24,193767,75.72,15843,2023-06-19,2023-08-18,6166,"2,41","3,18",171758,2067-08-30,1988-08-30,M,MACRON,Emmanuel,90053,2035-08-30,2052-08-30
8,8,,,,48099,25,138121,74.17,7808,2023-04-19,2065-05-30,3180,"1,71","2,30",127133,2068-08-30,1992-08-30,M,MACRON,Emmanuel,55093,2023-08-29,2043-08-30
9,9,,,,29751,24,89296,75.01,8637,2023-07-26,2067-09-30,3745,"3,15","4,19",76914,2064-08-30,1986-08-30,M,MACRON,Emmanuel,39298,2033-08-30,2051-08-30
10,10,,,,51298,24,154301,75.05,8710,2023-04-24,2064-05-30,3126,"1,52","2,03",142465,2069-08-30,1992-08-30,M,MACRON,Emmanuel,68840,2033-08-30,2048-08-30
11,11,,,,68610,24,211349,75.49,15224,2044-05-30,2023-07-20,6622,"2,37","3,13",189503,2067-08-30,1989-08-30,M,MACRON,Emmanuel,85465,2023-08-30,2045-08-30
12,12,,,,49491,22,169989,77.45,13943,2035-06-30,2023-08-20,6301,"2,87","3,71",149745,2068-08-30,1988-08-30,M,MACRON,Emmanuel,89955,2040-08-30,2060-08-30
13,13,,,,410707,29,1000873,70.9,57930,2023-04-10,1979-05-30,19055,"1,35","1,90",923888,2065-08-30,1992-08-30,M,MACRON,Emmanuel,481129,2034-08-30,2052-08-30
14,14,,,,116324,22,395880,77.29,23849,2066-04-30,2023-06-02,9492,"1,85","2,40",362539,2070-08-30,1991-08-30,M,MACRON,Emmanuel,218579,2042-08-30,2060-08-30
15,15,,,,25815,22,89926,77.7,6739,1982-05-30,2049-07-30,2911,"2,52","3,24",80276,2069-08-30,1989-08-30,M,MACRON,Emmanuel,45015,2038-08-30,2056-08-30
16,16,,,,64403,25,193105,74.99,13410,2023-05-21,1994-06-30,5952,"2,31","3,08",173743,2067-08-30,1989-08-30,M,MACRON,Emmanuel,95656,2037-08-30,2055-08-30
17,17,,,,126022,24,392907,75.71,26323,2023-05-07,2070-06-30,9405,"1,81","2,39",357179,2068-08-30,1990-08-30,M,MACRON,Emmanuel,201159,2038-08-30,2056-08-30
18,18,,,,60255,26,164202,73.16,12510,2057-05-30,2062-07-30,3793,"1,69","2,31",147899,2065-08-30,1990-08-30,M,MACRON,Emmanuel,77739,2034-08-30,2052-08-30
19,19,,,,42851,23,142180,76.84,12700,1986-06-30,1993-08-30,7077,"3,82","4,98",122403,2066-08-30,1986-08-30,M,MACRON,Emmanuel,68272,2036-08-30,2055-08-30
20,,,,,44739,39,69165,60.72,4154,2065-03-30,2023-06-01,2283,"2,00","3,30",62728,2055-08-30,1990-08-30,M,MACRON,Emmanuel,26144,2023-08-22,2041-08-30
21,,,,,50359,39,78737,60.99,5380,2023-04-17,1983-06-30,2269,"1,76","2,88",71088,2055-08-30,1990-08-30,M,MACRON,Emmanuel,29951,2023-08-23,2042-08-30
22,21,,,,89553,24,277275,75.59,19232,2023-05-24,1994-06-30,5632,"1,54","2,03",252411,2068-08-30,1991-08-30,M,MACRON,Emmanuel,144545,2039-08-30,2057-08-30
23,22,,,,100204,21,371556,78.76,26972,2072-05-30,2023-07-26,11174,"2,37","3,01",333410,2070-08-30,1989-08-30,M,MACRON,Emmanuel,209721,2044-08-30,2062-08-30
