année,population
2025,1506391
2024,1489751
2023,1473299
2022,1456261
2021,1434367
2020,1415757
2019,1400039
2018,1380672
2017,1362672
2016,1348183
2015,1335103
2014,1317668
2013,1298562
2012,1279349
2011,1260226
2010,1243641
2009,1230820
2008,1217344
2007,1202920
2006,1186330
2005,1165193
2004,1143706
2003,1122778
2002,1102414
2001,1082140
2000,1062514
1999,1044208
1998,1029466
1997,1016846
1996,1004166
1995,991133
1994,979110
1993,970746
1992,955129
1991,938877
1990,925116
1989,910492
1988,897127
1987,884781
1986,872277
1985,862844
1984,848458
1983,837177
1982,823829
1981,816335
1980,809167
1979,802606
1978,796513
1977,789636
1976,783123
1975,777019
